	TCGA-S3-AA0Z-01	TCGA-S3-A6ZH-01	TCGA-S3-A6ZF-01	TCGA-S3-AA11-01	TCGA-S3-AA14-01	TCGA-S3-AA15-01	TCGA-S3-AA10-01	TCGA-S3-A6ZG-01	TCGA-S3-AA17-01	TCGA-S3-AA12-01
LRIT1	1	0	0	0	0	0	0	0	0	0
LRIT2	6	1	0	0	0	1	1	0	0	0
LRIT3	12	42	69	45	51	16	34	194	17	29
LRMP	203	115	346	35	72	1230	392	179	631	33
LRP10	8581	14421	16539	9333	11649	7969	9058	14963	13327	11533
LRP11	5129	2201	4142	1882	1785	891	1540	3537	2997	1094
LRP12	2276	182	492	242	505	397	1644	376	206	255
LRP1B	545	1	6469	17	6	11	13	5088	8	0
LRP1	22630	7792	16261	8180	31782	32956	10638	14570	13753	5512
LRP2BP	109	75	264	164	83	72	48	767	131	114
LRP2	3	3962	9707	7283	630	84	20	3086	15	9640
LRP3	1994	2543	2035	2796	2358	1859	3415	1932	1570	7075
LRP4	399	110	113	116	337	111	98	2124	33	88
LRP5L	102	174	165	517	154	204	85	304	917	200
LRP5	2347	1235	4496	2602	2063	3952	2476	15718	6066	1251
LRP6	6486	1857	3681	1788	1977	2910	5977	3764	2782	844
LRP8	2932	287	232	123	98	256	813	196	635	38
LRPAP1	9449	6458	6841	2938	5328	4833	3100	5448	4024	4990
LRPPRC	5834	9041	11836	5946	6432	4713	8429	17419	8187	5624
LRRC10B	13	127	885	44	16	139	185	123	118	7
LRRC10	0	1	0	0	0	0	0	0	0	0
LRRC14B	5	17	2	14	1	2	8	13	172	2
LRRC14	2525	1840	3331	2210	1203	1469	2641	2461	2794	3705
LRRC15	2238	565	6635	3526	6544	4647	4187	6564	2847	3045
LRRC16A	1792	1798	2518	1656	992	903	1082	1665	1603	1215
LRRC16B	12	37	29	31	45	28	71	50	198	39
LRRC17	35	513	1129	577	1788	315	23	685	154	331
LRRC18	0	0	52	0	7	7	0	15	2	0
LRRC19	2	5	3	4	1	1	3	3	2	15
LRRC1	1787	3014	4507	3549	3013	981	1906	2862	1526	2616
LRRC20	1076	450	1378	775	114	419	222	752	504	119
LRRC23	273	1390	1116	318	300	188	277	1296	418	636
LRRC24	63	40	58	206	42	6	35	13	22	115
LRRC25	455	191	338	101	127	537	732	306	726	138
LRRC26	4	396	672	281	780	33	13	118	497	420
LRRC27	494	290	784	607	584	225	552	1298	320	704
LRRC28	450	174	455	313	467	387	217	335	141	291
LRRC29	54	244	137	235	88	112	47	147	92	210
LRRC2	12	20	12	5	31	45	20	19	20	2
LRRC30	0	0	0	0	0	0	0	0	0	0
LRRC31	0	80	56	18	6	1	0	52	77	0
LRRC32	1182	1481	2530	1065	3904	2275	2033	2153	1331	665
LRRC33	667	252	198	209	160	535	986	190	545	114
LRRC34	107	55	73	66	47	95	188	133	43	69
LRRC36	14	89	25	64	21	6	11	97	17	9
LRRC37A2	227	421	217	326	70	74	84	351	613	160
LRRC37A3	243	762	610	872	203	86	155	626	202	521
LRRC37A4	866	269	727	401	150	465	579	444	308	165
LRRC37A	1243	838	759	909	232	264	418	943	1059	620
LRRC37B2	2467	434	1393	1400	912	559	983	1725	1152	985
LRRC37B	483	286	411	332	108	190	334	364	615	300
LRRC39	21	20	45	25	16	7	8	64	13	11
LRRC3B	2	2	0	4	5	2	0	1	0	0
LRRC3	248	86	104	92	51	64	216	107	96	18
LRRC40	832	1195	1092	742	577	289	873	1099	301	576
LRRC41	4126	6019	4691	6130	4056	4013	4382	5879	5307	5161
LRRC42	1381	2127	1706	1480	1388	919	1380	1509	1445	1694
LRRC43	24	4	207	12	7	14	23	47	6	1
LRRC45	1257	2044	1900	1326	824	1085	1254	1957	2281	1463
LRRC46	198	297	836	264	77	30	17	1269	68	193
LRRC47	4206	3827	2813	3118	2146	2095	3716	3962	1771	2921
LRRC48	185	393	233	196	265	33	36	988	50	563
LRRC49	609	224	335	129	105	102	115	429	41	99
LRRC4B	11	33	17	26	67	74	8	24	24	9
LRRC4C	142	27	131	133	270	392	6	137	44	27
LRRC4	65	262	103	174	158	121	87	85	29	112
LRRC50	16	241	263	134	31	33	3	408	83	101
LRRC52	0	0	6	0	0	0	0	0	1	0
LRRC55	46	63	56	38	99	104	25	39	34	32
LRRC56	282	299	658	613	338	73	246	1079	601	739
LRRC57	1503	1976	1200	806	561	428	755	966	691	457
LRRC58	3906	4207	6950	1682	2625	1063	4157	3077	1872	1682
LRRC59	9921	19314	11442	7994	14042	6489	23512	9566	10445	4737
LRRC61	270	1368	672	836	325	629	1033	898	1153	1704
LRRC66	11	2	23	18	9	31	51	20	12	2
LRRC67	1	6	11	5	1	2	1	23	0	17
LRRC69	9	4	21	7	16	3	15	3	2	14
LRRC6	34	10	1176	159	57	42	253	820	188	111
LRRC70	91	54	89	49	55	114	43	96	72	34
LRRC7	1	0	0	0	0	0	0	5	0	0
LRRC8A	8450	4170	3418	3134	2846	3130	15282	4638	2986	3859
LRRC8B	841	2242	2049	1513	1115	712	2246	1708	1688	972
LRRC8C	897	505	828	349	497	959	2214	832	1137	872
LRRC8D	3970	2120	1903	1956	1485	1142	2112	2250	1229	1412
LRRC8E	987	1760	1350	1285	706	307	1307	3076	2031	1053
LRRCC1	3615	4660	1866	1008	818	433	2131	4905	925	1670
LRRFIP1	5944	11274	11732	7297	3958	2619	3615	13241	8662	4841
LRRFIP2	4824	3028	3628	1552	1966	1361	3329	4005	2276	1863
LRRIQ1	249	25	80	4	2	5	93	340	27	65
LRRIQ3	37	157	24	43	24	19	15	55	19	62
LRRIQ4	3	3	2	0	1	7	8	1	1	0
LRRK1	495	162	792	983	589	904	964	475	1168	57
LRRK2	262	101	338	310	243	340	598	513	702	50
LRRN1	2010	184	102	3529	1961	1920	1080	412	20	88
LRRN2	1601	344	2676	353	388	233	357	628	2070	76
LRRN3	20	24	50	30	129	38	153	27	42	15
LRRN4CL	25	92	34	36	63	174	23	74	22	0
LRRN4	1	1	4	3	1	15	36	2	0	1
LRRTM1	1	0	0	0	0	4	0	0	0	1
LRRTM2	21	16	11	9	22	15	8	19	35	7
LRRTM3	0	5	0	0	1	2	0	0	1	0
LRRTM4	0	0	1	4	0	0	0	0	2	1
LRSAM1	1736	1556	1284	2137	1391	719	944	1960	2346	1718
LRTM1	0	0	0	0	0	1	0	0	9	0
LRTM2	3	10	65	29	6	0	0	9	122	57
LRTOMT	476	853	2395	743	757	226	211	763	1709	1202
LRWD1	701	1221	2098	764	684	983	1429	1360	838	1253
LSAMP	8	35	44	11	83	142	10	8	48	24
LSG1	4594	4477	4031	2306	1811	1743	2648	3975	2650	1760
LSM10	881	1346	1021	729	710	1297	1153	1044	1322	938
LSM11	960	487	640	305	426	242	452	665	482	187
LSM12	2414	4747	3542	2720	1213	1320	2182	3084	2278	1598
LSM14A	6641	15104	13270	4925	4899	3739	9170	10872	6155	6185
LSM14B	3037	5473	6437	3647	2141	1903	3259	4806	6103	2241
LSM1	1223	14383	8381	1051	778	1068	2514	1721	1114	11946
LSM2	4648	3077	1905	1231	917	1674	3161	1455	1564	1213
LSM3	2140	4446	4788	1671	1275	1487	1623	2114	1652	1490
LSM4	5338	7343	3254	3616	3040	3128	6449	5112	4612	4840
LSM5	2408	2881	1612	1064	977	1220	1131	2089	1174	1125
LSM6	898	688	584	375	275	445	692	616	357	285
LSM7	1433	2417	1079	1054	781	1352	2564	1757	1249	1090
LSMD1	1512	816	1301	1072	1486	974	1483	2268	809	2351
LSP1	2481	2584	3232	1750	2304	7192	6709	3984	5411	1136
LSR	15582	14792	6761	6226	4133	4848	14640	7594	4755	3028
LSS	6087	7509	2726	2500	3925	1458	5121	2590	1664	3730
LST-3TM12	0	1	0	2	63	0	0	0	1	6
LST1	266	184	310	114	104	416	576	369	493	118
LTA4H	2798	3510	4362	2508	2787	2681	4354	6704	5163	4258
LTA	41	42	22	9	13	80	292	16	114	6
LTB4R2	263	173	83	325	174	140	208	385	307	173
LTB4R	1026	741	242	1160	354	523	510	868	618	466
LTBP1	2834	3068	4021	1063	1953	3152	1378	1956	3507	1351
LTBP2	2479	5951	6055	5690	13962	8791	9322	6610	5767	2681
LTBP3	9913	2518	9096	6695	5788	6481	5009	4621	11892	5788
LTBP4	2344	1439	1255	2718	2685	2245	2351	2462	2243	1233
LTBR	3737	4034	5098	3709	2775	3640	9779	4127	5977	1795
LTB	446	346	416	54	68	1757	2372	193	1308	96
LTC4S	29	36	33	104	86	197	37	71	53	72
LTF	5520	2526	9616	576	4212	18426	35	2121	430	7
LTK	8	5	11	2	8	194	43	9	55	0
LTV1	2229	1257	1661	1376	953	825	1673	1386	1255	505
LUC7L2	4790	7328	6458	6432	5118	3109	5967	7251	5021	4899
LUC7L3	10246	7224	8568	8181	9963	3427	6873	8441	6572	5733
LUC7L	1476	1907	2327	3851	1821	1517	1330	4726	1744	2306
LUM	7093	11650	41953	9858	31880	22435	12580	26090	13455	10011
LUZP1	3673	1793	2555	1760	2232	2025	3564	1842	1438	771
LUZP2	27	20	17	177	43	9	0	70	3	3
LUZP4	12	0	0	0	0	0	0	1	0	1
LUZP6	7069	13994	12856	5786	3345	4780	9162	10351	6138	5264
LXN	30792	650	1167	402	772	989	665	639	585	208
LY6D	2	8	41	0	4	282	16135	44	0	1
LY6E	6681	14690	30710	7992	3054	7407	57285	6533	34886	646
LY6G5B	627	94	90	162	104	171	127	127	136	68
LY6G5C	59	100	30	124	50	44	54	91	62	70
LY6G6C	66	238	1	7	3	10	24	473	5	10
LY6G6D	1	2	0	0	0	0	0	4	0	0
LY6G6E	0	0	0	2	0	0	0	2	2	0
LY6G6F	0	1	0	1	0	0	0	1	1	0
LY6H	13	16	14	6	12	20	1	172	17	19
LY6K	108	368	646	295	1	29	858	55	84	0
LY75	4279	2097	1776	118	393	991	887	1996	2039	268
LY86	265	159	411	206	156	593	403	489	401	81
LY96	190	264	267	67	89	636	382	242	294	50
LY9	85	73	77	11	40	520	397	153	494	15
LYAR	800	649	513	225	284	680	794	717	544	297
LYG1	40	45	10	64	62	47	51	41	21	30
LYG2	4	3	3	1	1	1	0	1	0	0
LYL1	180	137	192	118	112	451	366	208	238	104
LYNX1	2064	201	811	228	309	604	1778	932	148	22
LYN	4583	771	1466	353	579	2941	3641	1357	2268	243
LYPD1	62	82	75	61	102	1137	367	186	49	48
LYPD2	0	0	1	0	0	0	0	0	0	1
