	TCGA-S3-AA0Z-01	TCGA-S3-A6ZH-01	TCGA-S3-A6ZF-01	TCGA-S3-AA11-01	TCGA-S3-AA14-01	TCGA-S3-AA15-01	TCGA-S3-AA10-01	TCGA-S3-A6ZG-01	TCGA-S3-AA17-01	TCGA-S3-AA12-01
TOP2A	37802	20853	10451	4569	8768	3358	24191	20437	7773	4552
TOP2B	11820	8177	23959	9502	7769	6068	10991	13374	8210	6929
TOP3A	2386	3247	1254	1359	1308	755	1554	2492	1112	893
TOP3B	813	695	727	1207	942	893	913	1053	1082	848
TOPBP1	9235	5256	4950	1855	1826	1729	4423	3782	3128	1952
TOPORS	3662	1718	2887	1437	980	776	1201	2327	1071	1039
TOR1AIP1	7924	8630	5467	3256	2250	1727	2242	9187	4448	2594
TOR1AIP2	3581	1741	1700	829	1126	492	601	1418	1177	544
TOR1A	3956	3050	2483	2450	1245	1447	2407	2566	2197	1590
TOR1B	2535	2904	2205	1447	923	844	1281	1423	2859	910
TOR2A	836	1121	881	976	670	533	878	812	741	759
TOR3A	6575	6960	5873	2298	1785	4537	2870	5994	3889	1741
TOX2	139	27	325	14	17	267	261	64	404	14
TOX3	388	8796	666	1075	455	33	3	1747	4038	449
TOX4	2894	9596	6567	4646	3158	2018	4102	8519	4657	4518
TOX	258	62	194	24	44	295	490	82	458	12
TP53AIP1	58	22	17	69	59	21	2	30	30	0
TP53BP1	5474	5337	6760	4072	2503	1833	2000	5182	2413	1496
TP53BP2	8099	1851	4319	2670	1062	2182	3980	5768	2018	1241
TP53I11	2686	12357	8288	13170	6022	2264	2226	13081	18730	5435
TP53I13	4875	2317	1530	1120	1163	1423	1313	1889	1396	1048
TP53I3	953	377	547	983	493	1187	670	341	364	185
TP53INP1	2279	3450	6456	5079	4666	6729	1602	8243	5163	3992
TP53INP2	3039	2074	1752	1685	1976	894	816	1144	1160	1215
TP53RK	1064	1540	2215	1025	860	683	1204	1885	1673	878
TP53TG1	230	1291	1140	1708	822	327	164	1720	634	1035
TP53TG3B	0	4	3	1	2	6	0	2	1	1
TP53TG5	0	4	0	2	0	0	0	4	13	2
TP53	14151	3398	3026	4701	2519	1794	1819	9280	2660	2901
TP63	196	599	103	431	955	453	31	389	95	1
TP73	105	245	304	95	42	101	79	545	14	105
TPBG	4183	4582	5283	6038	3015	1122	976	5734	1658	9314
TPCN1	2100	3121	4165	3705	4088	2104	1224	5507	3394	2942
TPCN2	1409	5414	1953	914	471	720	748	2902	1021	237
TPD52L1	1647	1007	2148	525	1519	2052	1190	1786	9685	85
TPD52L2	5223	7493	10896	4893	3267	4986	7744	8082	11282	4592
TPD52L3	0	0	0	0	0	0	0	0	0	0
TPD52	4998	27995	9853	9383	10412	2840	12701	23277	7201	22494
TPH1	37	2	6	14	17	5	17	1	8	2
TPH2	1	0	2	0	0	0	0	8	0	0
TPI1P2	39	132	55	60	44	26	33	53	29	35
TPI1P3	2	3	0	0	1	1	0	0	0	1
TPI1	17261	21814	19793	13698	6399	14417	32756	12678	15252	16687
TPK1	90	143	121	42	133	113	126	101	177	50
TPM1	3954	19151	12446	13151	14415	25895	34672	12299	3089	12064
TPM2	2655	1550	4684	4482	4182	6183	6391	3792	1384	2143
TPM3	40113	53632	53232	21928	12550	19581	36962	38971	27603	11386
TPM4	150018	11967	24915	29055	23593	31844	35764	72088	27057	23733
TPMT	1622	2627	2029	1325	977	897	1818	1399	1529	1586
TPO	25	16	17	22	33	69	0	35	34	9
TPP1	21904	15231	9215	5578	7037	7140	8250	9787	11554	7499
TPP2	3149	2479	3093	2891	1649	1415	6096	4360	2758	1826
TPPP2	0	0	0	0	1	1	0	0	0	0
TPPP3	285	5720	2845	219	189	330	150	3071	657	270
TPPP	943	430	262	478	192	198	35	780	482	1195
TPRA1	2824	2272	2202	1357	1009	1599	3343	1609	1486	1387
TPRG1L	4207	3130	3170	3147	2441	2066	2084	3594	1852	1627
TPRG1	34	4645	156	182	936	74	26	10196	865	235
TPRKB	757	936	867	669	424	453	872	1213	421	357
TPRN	1448	2377	8018	1195	3568	593	611	2401	2744	1187
TPRX1	0	0	0	0	0	0	0	0	0	0
TPRXL	453	75	486	2	6	18	650	15	2	59
TPR	23663	20766	13989	8968	6174	5108	6069	24575	14570	4484
TPSAB1	78	1686	1860	2613	848	1279	78	1963	67	466
TPSB2	75	2669	3010	2892	1385	2470	135	3795	194	745
TPSD1	3	138	6	7	35	1	1	223	5	63
TPSG1	1	3	66	57	103	5	1	64	385	771
TPST1	539	497	841	358	467	942	778	270	367	199
TPST2	550	718	1732	2154	519	1872	1147	1052	1146	2864
TPT1	39883	77739	84998	110312	55887	89431	69763	91004	86100	67318
TPTE2P1	64	16	7	12	38	23	9	8	25	2
TPTE2P3	0	12	0	0	4	0	1	2	0	1
TPTE2	0	0	1	4	2	18	2	6	3	2
TPTE	9	3	6	0	3	2	0	1	2	925
TPX2	13698	4277	3832	1859	1459	2351	12974	5352	3280	2288
TRA2A	3222	4451	5087	4300	1607	1693	3179	3878	2588	1930
TRA2B	14026	10645	8595	5934	3696	4681	8533	7673	4157	4970
TRABD	4418	3249	1690	2568	1901	2835	3490	2093	3908	2777
TRADD	838	1937	871	1407	485	1202	949	709	1087	452
TRAF1	1517	400	724	370	405	897	1970	737	2044	203
TRAF2	6088	1429	4236	1406	755	995	2829	1985	1991	1407
TRAF3IP1	2575	2185	2643	1512	616	506	1735	3519	1243	1452
TRAF3IP2	2578	1194	1373	1884	1068	1374	837	2875	2740	544
TRAF3IP3	401	256	491	124	195	825	1822	440	993	81
TRAF3	590	274	747	332	375	596	1108	773	1065	319
TRAF4	17710	5809	7624	5369	4036	3681	3865	6560	4841	3288
TRAF5	807	967	3506	3059	589	1179	1336	2770	4859	428
TRAF6	624	656	411	341	363	257	314	521	544	222
TRAF7	3877	12601	6449	5551	5648	3186	5266	10275	5541	8124
TRAFD1	4187	4241	9321	3811	3271	1614	3099	4293	2621	2271
TRAIP	991	392	249	168	190	368	335	451	172	283
TRAK1	6588	1869	7630	1955	2658	3024	2006	9334	2953	1943
TRAK2	3642	2585	2875	5056	2176	1503	2190	3913	3397	1314
TRAM1L1	450	346	370	393	227	107	137	554	253	663
TRAM1	10200	10576	13542	5216	6272	9346	16115	13839	7810	8043
TRAM2	3368	2099	4124	1865	3681	4816	2938	2731	2155	1044
TRANK1	1518	3407	3741	1346	1397	2045	1968	2940	3682	928
TRAP1	1529	9344	4750	3369	3112	2843	6167	8652	4524	5704
TRAPPC10	5405	4483	4157	2490	2354	1851	3935	2631	2415	2574
TRAPPC1	3727	3231	3413	2933	1911	2365	4756	4472	2419	3791
TRAPPC2L	421	2371	1364	1074	503	752	674	1266	724	687
TRAPPC2P1	483	879	807	337	212	240	286	487	323	103
TRAPPC2	678	941	803	893	656	754	792	719	660	875
TRAPPC3	2852	3536	2482	2579	1972	2253	2810	2493	2811	2501
TRAPPC4	1225	2415	2101	1966	1677	1073	1072	1564	1375	847
TRAPPC5	1100	1879	979	1729	1139	1331	1041	2520	1612	2098
TRAPPC6A	566	2884	1089	918	1124	568	646	1390	886	1916
TRAPPC6B	870	2217	3030	1171	1073	710	935	2371	1369	957
TRAPPC9	1238	3249	3398	1864	2063	1185	2295	2966	2291	6822
TRAT1	38	36	82	2	17	79	221	57	214	5
TRDMT1	688	95	248	103	134	156	768	214	228	60
TRDN	0	0	4	4	0	3	0	2	0	0
TREH	1	0	4	3	2	2	0	3	1	0
TREM1	38	111	75	32	18	105	118	138	27	32
TREM2	582	676	1052	725	509	713	1184	1258	495	358
TREML1	5	11	6	12	4	9	8	14	14	1
TREML2P1	0	0	0	0	0	0	0	0	0	0
TREML2	20	20	39	2	5	105	79	4	110	1
TREML3	8	10	4	2	3	4	5	1	0	0
TREML4	13	1	3	0	1	4	25	2	11	0
TRERF1	675	1987	518	1772	863	449	614	1737	3370	1869
TREX1	1283	919	856	488	470	772	862	1025	1269	1287
TREX2	48	13	25	19	12	18	31	18	9	0
TRHDE	5	4	4	4	2	20	4	2	0	0
TRHR	0	1	0	0	0	0	1	0	0	0
TRH	4	102	5	7	9	3	0	17	66	224
TRIAP1	1285	1944	1952	1112	844	981	787	1619	917	542
TRIB1	2324	3734	3655	2480	873	3371	5365	5812	3848	2248
TRIB2	2140	3212	3461	1999	1606	2163	4618	5470	3580	654
TRIB3	208	5663	1890	1349	2683	345	3151	2856	3477	2895
TRIL	532	231	1509	3276	925	363	499	532	1370	1891
TRIM10	0	2	1	0	0	0	0	0	0	0
TRIM11	3882	3868	3275	2082	1198	1366	1639	3221	3329	1770
TRIM13	2006	982	2132	1765	800	848	962	1547	948	1478
TRIM14	4966	2789	3679	2605	672	1823	3928	4785	7709	1034
TRIM15	0	3	0	0	0	0	0	0	0	0
TRIM16L	523	739	309	247	247	154	64	681	488	383
TRIM16	3559	1521	1181	1059	1313	973	977	1174	1965	750
TRIM17	295	23	1677	67	52	130	65	118	278	13
TRIM21	1200	1292	1257	855	392	662	2165	1246	1542	478
TRIM22	5337	1476	3766	2352	1343	3035	7697	2721	12367	492
TRIM23	783	1023	1147	536	610	262	350	1379	399	556
TRIM24	1856	3018	3270	2517	1816	1545	1261	2344	1543	1765
TRIM25	5353	1471	2587	2669	3352	2049	4924	5056	2830	1659
TRIM26	9387	5336	5480	5661	5226	2736	5498	4712	4043	1982
TRIM27	8390	5435	3367	3675	3441	2819	5029	4123	3818	2461
TRIM28	14779	33022	11796	10324	13659	12220	13953	20674	11756	21626
TRIM29	11863	957	233	1557	1124	1633	11911	351	137	2
TRIM2	16047	436	1119	1044	827	1098	3496	3739	167	210
TRIM31	1	5	18	6	4	0	1	5	7	0
TRIM32	2213	1146	1511	1123	736	598	979	1439	1740	830
TRIM33	3500	4484	3557	3110	2538	913	3214	4179	2731	2198
TRIM34	547	1028	944	600	450	286	683	1082	925	461
TRIM35	887	658	883	756	572	795	1524	1488	789	390
TRIM36	1411	60	1006	565	970	95	103	658	18	1177
TRIM37	2774	3784	2652	2293	2796	732	2435	2785	1525	2693
TRIM38	3886	2092	2252	1794	530	1362	1366	1717	2474	656
TRIM39	1919	1338	1478	952	682	618	988	1254	922	813
TRIM3	640	3443	2841	2890	3393	357	399	1407	1959	6481
TRIM40	0	0	0	0	0	0	0	0	0	0
TRIM41	3101	3738	1689	2737	1504	1178	1132	4640	2013	1845
TRIM42	0	0	0	1	0	0	0	0	0	0
TRIM43	0	0	0	0	0	0	0	0	0	1
TRIM44	4180	4989	4212	1896	3047	1597	2668	4749	4913	3006
TRIM45	956	1415	2217	2152	958	275	291	1105	1213	4675
TRIM46	128	62	385	112	35	109	535	416	222	92
TRIM47	5886	4266	2168	948	438	3596	3815	1947	2418	271
TRIM48	0	0	0	0	0	0	0	0	0	0
TRIM49L	1	0	0	0	0	0	0	0	0	0
TRIM49	0	0	0	0	0	0	0	0	0	0
TRIM4	869	2458	2487	2557	2616	1406	1745	5184	2189	1705
TRIM50	1	97	0	2	2	7	2	1	1	1
TRIM52	714	613	346	666	346	252	182	812	653	303
TRIM53	1	0	0	0	0	0	0	0	0	0
TRIM54	0	2	1	9	0	0	0	2	0	1
TRIM55	0	3	2	0	1	34	3	11	0	1
TRIM56	837	905	1787	616	821	503	830	1237	1398	451
TRIM58	120	780	519	16	107	28	8	299	977	850
TRIM59	2198	357	596	299	290	545	1292	518	439	228
TRIM5	1785	574	791	1648	892	735	1438	1511	1901	522
TRIM6-TRIM34	0	0	12	0	0	0	0	0	0	0
TRIM60	0	0	0	0	0	0	0	0	0	0
TRIM61	5	7	12	1	3	20	10	8	8	3
TRIM62	587	900	826	1295	1584	453	325	986	835	1475
TRIM63	0	10	15	3	6	3	0	4	1	3
TRIM64	0	0	0	0	0	0	0	0	0	0
TRIM65	1319	1963	1567	1057	760	2137	2009	1512	2040	734
TRIM66	981	524	574	1122	634	466	311	1596	1037	568
TRIM67	14	8	15	7	3	8	7	21	13	2
TRIM68	1831	214	150	445	952	348	282	612	422	307
TRIM69	91	41	58	47	18	77	220	40	89	16
TRIM6	330	1025	438	827	471	76	163	469	778	431
TRIM71	1	0	0	0	1	0	2	0	18	3
TRIM72	165	2	1	11	1	7	0	59	4	1
TRIM74	4	0	1	76	57	2	3	13	2	77
TRIM77	0	0	0	0	0	0	0	3	0	0
TRIM78P	61	11	10	54	14	24	23	30	86	11
TRIM7	25	22	24	31	18	17	95	225	17	346
TRIM8	2175	5584	6311	4635	3956	2707	2693	7052	4992	4766
TRIM9	17	164	489	50	36	48	36	120	49	312
TRIML1	0	0	0	0	0	0	0	0	0	0
TRIML2	1	2	3	0	0	0	20	0	0	0
TRIOBP	3921	4438	3122	4651	3046	2403	2047	4781	4166	2937
TRIO	3692	4024	4877	6472	5097	3059	3240	7399	4910	2263
TRIP10	2560	1603	1421	1078	1396	1765	3952	1952	2375	1071
TRIP11	1734	4957	3294	2707	2572	1053	1231	4445	1688	1676
TRIP12	11323	9349	12991	8812	4020	5905	9038	9575	8588	5402
TRIP13	1538	886	1088	384	326	760	1627	1001	825	534
TRIP4	1562	3328	2009	1494	991	1108	1146	1763	748	1225
TRIP6	1002	8178	3712	2192	1627	2474	2657	2369	6246	3010
TRIT1	991	997	1070	856	556	824	1306	1187	1006	681
TRMT112	3661	5327	8097	3943	3189	3480	5738	4709	5400	5044
TRMT11	1084	424	431	354	276	508	502	526	556	245
TRMT12	1013	1686	2336	828	506	487	1216	1611	1071	2918
TRMT1	6238	1706	962	1809	1178	1867	2784	2701	2236	1621
TRMT2A	1367	3045	1534	2308	1283	2073	1631	2484	2279	2122
TRMT2B	1426	2102	1202	1067	377	549	792	1112	1072	1167
TRMT5	557	1899	964	1050	722	509	886	2096	871	996
TRMT61A	1218	1571	864	828	790	644	1935	1611	1281	1046
TRMT61B	1214	845	1128	566	472	457	838	1055	622	671
TRMT6	913	1810	1714	790	487	533	1977	1324	1187	543
TRMU	378	461	795	959	582	484	763	867	569	514
TRNAU1AP	805	1107	1110	566	394	511	496	744	434	344
TRNP1	291	138	408	211	176	299	415	86	140	436
TRNT1	1018	1176	1395	870	660	643	940	954	746	707
TROAP	4262	787	1356	838	484	572	1660	1408	940	508
TROVE2	4260	5788	4066	2980	1422	992	1419	6450	1943	1696
TRO	157	198	422	357	1429	443	104	303	126	108
TRPA1	18	2	510	63	0	9	22	3	25	460
TRPC1	205	84	701	79	184	122	56	174	68	37
TRPC2	2	3	4	5	1	7	8	5	5	1
TRPC3	31	6	12	7	8	12	25	13	8	10
TRPC4AP	4875	5400	7367	6134	4356	4033	7112	8394	6052	6358
TRPC4	14	6	22	8	19	18	3	9	9	4
TRPC5	0	0	5	0	2	0	0	0	0	0
TRPC6	105	115	110	61	217	194	73	67	47	22
TRPC7	0	0	0	0	0	0	0	0	0	0
TRPM1	0	1	0	0	0	0	1	0	0	0
TRPM2	1042	818	1468	832	288	1086	2994	1082	1185	875
TRPM3	3	0	2	1	5	2	0	0	1	0
TRPM4	2404	9904	6484	4983	5051	1010	884	4687	5384	2632
TRPM5	1	17	0	1	0	1	0	4	1	10
TRPM6	26	18	15	5	18	25	9	3	29	1
TRPM7	2505	3253	3519	2253	2067	984	1686	3757	1561	1790
TRPM8	2	2	4	5	3	1	2	4	3	0
TRPS1	20284	57828	50363	17175	7073	2185	23542	18251	26423	30750
TRPT1	648	529	1347	1295	623	700	423	780	1114	746
TRPV1	1517	428	463	1125	966	314	419	1307	591	447
TRPV2	763	373	540	192	190	1135	1468	424	1124	129
TRPV3	25	0	18	4	5	27	172	5	5	1
TRPV4	925	193	289	221	103	232	1175	176	66	420
TRPV5	1	0	0	1	2	0	0	3	1	1
TRPV6	910	42	179	785	477	227	42	147	4	1
TRRAP	3101	5850	7391	7048	2930	3790	5985	5929	5372	3430
TRUB1	1504	1610	2761	1443	1154	409	1295	2656	924	1125
TRUB2	2162	2087	1083	1604	1278	803	1555	2562	1568	2908
TRY6	0	0	0	9	0	0	0	0	0	0
TRYX3	2	0	0	0	0	0	0	0	0	0
TSC1	3963	1969	3543	3103	1616	1255	1478	3539	2260	1635
TSC22D1	5767	13205	11665	10891	5917	6035	3076	8039	5512	14280
TSC22D2	1520	1669	1652	1053	916	738	1101	1036	874	1350
TSC22D3	1559	20938	36005	5438	17083	20870	1965	10008	23546	8642
TSC22D4	1948	3607	4199	2775	1567	2684	2978	2294	3562	2680
TSC2	3224	6619	5491	5119	3731	2750	3267	10844	4795	5855
TSEN15	4944	4126	2736	1766	875	992	1143	2560	1414	688
TSEN2	456	590	1121	433	311	253	374	754	614	425
TSEN34	2477	6454	5635	2989	1584	2500	4074	3425	2561	3261
TSEN54	1330	2889	1610	1602	1011	1303	1918	2487	2268	1642
TSFM	1485	2718	2449	1552	1244	840	2096	2775	1263	1362
TSG101	4432	7249	4037	3374	2195	1926	2276	4910	4830	4027
TSG1	0	1	0	1	0	1	0	0	0	0
TSGA10IP	3	0	6	1	0	3	4	1	2	0
TSGA10	53	199	152	148	187	37	93	396	153	98
TSGA13	0	1	1	1	1	0	1	0	0	1
TSGA14	590	1293	1072	579	461	444	1067	1305	610	905
TSHB	0	0	0	0	2	0	2	0	0	0
TSHR	3	0	5	1	9	116	37	20	72	4
TSHZ1	2370	2072	1164	1582	1439	801	1152	3215	2365	1869
TSHZ2	138	150	154	97	270	232	108	135	260	18
TSHZ3	533	440	616	420	930	666	336	552	399	279
TSIX	212	20	93	391	120	87	72	101	96	317
TSKS	2	4	5	0	4	26	5	5	16	1
TSKU	2340	1518	5620	2568	13992	1353	1842	1176	12559	23578
TSLP	5	9	9	15	18	17	8	17	3	1
TSNARE1	606	497	768	709	444	381	788	1033	765	965
TSNAX-DISC1	15	4	0	0	4	18	0	0	5	0
TSNAXIP1	64	105	178	193	42	60	18	161	59	42
TSNAX	5527	8815	7317	2778	1626	1112	1866	7171	2412	2369
TSN	5835	8233	5011	3743	2232	2931	3751	7672	3257	3753
TSPAN10	171	307	55	229	80	19	61	283	105	152
TSPAN11	97	82	192	111	188	302	215	137	159	46
TSPAN12	793	420	1885	1758	130	450	418	2380	628	1130
TSPAN13	3300	34324	91240	23781	5389	3568	5780	16540	21612	9660
TSPAN14	7542	4323	7138	5463	4017	5661	7219	5124	6719	4285
TSPAN15	1272	7854	9971	6405	4614	1693	1473	6692	2199	1963
TSPAN16	0	0	0	0	1	0	0	1	2	0
TSPAN17	2492	3115	4674	2627	1528	1614	1640	2925	2413	985
TSPAN18	1291	522	1124	448	810	1438	790	528	622	286
TSPAN19	5	0	0	2	0	0	0	1	0	0
TSPAN1	99	10334	3104	5203	778	173	19	13517	2876	124
TSPAN2	86	110	437	135	270	200	363	216	199	17
TSPAN31	2071	1689	3518	2497	2125	1214	1300	2542	3305	2756
TSPAN32	79	123	62	14	20	234	51	38	250	21
TSPAN33	986	401	1812	263	242	1207	2383	255	1619	144
TSPAN3	6522	6269	11286	8076	3038	4224	3124	4186	5659	3338
TSPAN4	1254	1702	989	917	1582	1020	1678	1242	2392	1583
TSPAN5	151	213	364	746	665	135	129	48	1189	1390
TSPAN6	3209	4342	1364	391	1793	1052	1467	6215	3081	1544
TSPAN7	464	310	498	154	287	604	260	219	655	73
TSPAN8	3	21	12	9	352	113	29	4	10	22
TSPAN9	3692	5677	6153	3788	4470	2557	2650	4924	5139	2897
TSPO2	0	0	0	0	6	0	0	1	1	2
TSPO	16279	5704	3625	5404	1927	3628	8392	5887	4755	3744
TSPY1	0	0	0	0	0	0	0	0	0	0
TSPY2	0	0	0	0	0	0	0	0	0	0
TSPY3	0	0	0	0	0	0	0	0	0	0
TSPY4	0	0	0	0	0	0	0	0	0	0
TSPYL1	6380	4895	5016	7759	6701	2692	3103	8345	5459	4314
TSPYL2	1313	1197	2066	1298	1531	1555	929	1665	2033	325
TSPYL3	75	93	95	14	49	41	55	207	105	171
TSPYL4	2823	1107	1464	2358	1846	943	701	3146	1755	974
TSPYL5	1652	4410	406	215	1812	844	5705	1323	1625	2138
TSPYL6	3	1	0	1	1	0	0	2	0	0
TSR1	3870	3954	3447	5758	2395	1693	6497	5153	2502	3992
TSR2	1780	4498	5427	2285	1542	1378	2411	3222	1859	1583
TSSC1	1953	1670	1407	1050	812	1017	1340	1397	1378	1297
TSSC4	1718	2952	1348	1669	1072	1340	1882	2144	1497	2083
TSSK1B	7	2	4	5	1	4	1	3	2	16
TSSK2	0	0	0	0	0	0	0	0	0	0
TSSK3	213	146	32	334	133	63	72	135	71	90
TSSK4	89	49	25	49	41	24	39	137	68	27
TSSK6	634	92	60	73	67	52	65	223	130	101
TSTA3	3025	3376	10485	4102	2995	3067	4512	3209	2304	2995
TSTD1	1643	5610	4479	4108	2836	1263	1853	4491	2796	5913
TSTD2	2502	1578	1307	1779	916	520	1227	1945	1461	1168
TST	1396	1651	632	1941	1430	782	386	1447	906	517
TTBK1	15	18	28	3	3	22	35	94	36	5
TTBK2	758	514	602	219	276	93	145	370	302	127
TTC12	358	943	1285	1437	1875	412	374	1437	476	469
TTC13	4899	1134	1930	675	447	1159	1074	1168	1338	301
TTC14	5752	1959	4232	4564	1746	1072	939	2468	1789	2474
TTC15	1908	1983	1819	1664	1647	1391	1297	2433	1893	1778
TTC16	32	26	29	3	7	21	39	119	42	30
TTC17	4251	5358	3936	3184	4772	2083	3760	4898	4329	2278
TTC18	68	73	284	360	209	64	26	885	62	125
TTC19	2703	2275	3538	2945	2208	1188	1383	4361	1400	2148
TTC1	3283	3522	3655	1895	1629	1162	1593	2830	1608	1285
TTC21A	539	158	980	298	372	219	186	736	274	452
TTC21B	1221	886	3972	1343	549	527	547	2535	870	1485
TTC22	568	138	13	36	51	134	259	290	317	5
TTC23L	9	21	126	36	30	6	1	92	43	62
TTC23	1678	464	327	784	565	642	384	744	215	504
TTC24	25	7	24	3	2	46	58	3	56	0
TTC25	71	149	225	53	28	6	30	386	21	82
TTC26	253	432	708	225	241	158	426	618	232	307
TTC27	2122	1087	1191	781	801	845	1610	1413	1471	1057
TTC28	661	1227	770	770	1107	697	189	1092	530	1195
TTC29	2	1	109	7	1	0	0	63	0	1
TTC30A	1078	1624	1789	1101	422	205	273	1146	660	1722
TTC30B	853	1199	1308	703	338	132	215	1385	477	945
TTC31	2053	1932	1975	1629	1022	946	1775	2141	1943	1674
TTC32	548	366	133	142	90	94	118	146	87	106
TTC33	798	964	842	356	502	395	459	1348	316	506
TTC35	2040	2288	4302	1275	824	689	1991	2445	1382	2277
TTC36	4	1324	14	67	841	4	1	29	125	489
TTC37	5361	6727	6067	4629	4238	1778	2378	6298	2587	3980
TTC38	635	1341	2194	1325	2006	737	750	1264	511	3708
TTC39A	820	22957	7240	10888	9889	159	729	2857	7906	7498
TTC39B	966	998	1579	199	118	311	263	355	379	148
TTC39C	1444	598	744	1163	1075	542	727	1916	1262	1507
TTC3	6535	14816	18583	28970	14503	10096	8117	15037	6815	10778
TTC4	1713	2026	1001	1077	1092	789	1355	1545	943	1485
TTC5	305	1044	679	465	306	275	658	982	460	481
TTC7A	3360	3306	1511	1203	1081	2822	2503	1429	3035	421
TTC7B	453	394	753	359	330	480	811	386	714	267
TTC8	535	2902	1681	1759	1387	320	361	3926	995	2116
TTC9B	0	2	0	1	0	1	0	1	1	8
TTC9C	932	584	1178	543	576	625	1014	665	1102	677
TTC9	104	6372	6051	1483	650	929	412	2438	1822	2835
TTF1	2579	1110	1697	766	487	484	970	1212	703	422
TTF2	2526	2044	1125	890	748	624	2020	1738	1763	954
TTK	3777	504	1065	365	177	637	2353	1103	282	446
TTLL10	28	2	123	54	0	13	4	4	10	5
TTLL11	268	104	118	107	124	107	139	188	182	74
TTLL12	8470	5263	3236	3704	12195	2419	5802	32070	3864	1980
TTLL13	17	33	15	71	15	24	14	19	9	19
TTLL1	996	830	637	615	335	255	269	1033	432	918
TTLL2	9	2	4	10	2	2	16	2	1	1
TTLL3	2089	1139	3648	3126	1504	1711	819	3463	2601	985
TTLL4	5605	778	2205	1139	501	1791	5492	1973	1680	967
TTLL5	1563	2619	1470	1412	968	604	1338	2819	1311	1541
TTLL6	4	2	18	10	3	0	7	17	345	0
TTLL7	514	40	310	146	205	218	144	174	7	211
TTLL8	3	0	0	0	0	0	0	0	0	0
TTLL9	11	10	63	164	29	9	14	239	103	8
TTL	2236	2104	2080	1115	992	1572	1873	1922	1124	1165
TTN	112	101	545	628	306	467	246	127	697	212
TTPAL	1355	1411	1773	1363	749	744	1369	2149	1150	602
TTPA	51	5	32	1	23	1	3	1	0	0
TTR	0	0	1	0	231	0	0	14	14	3
TTTY10	0	0	0	0	0	0	0	0	0	0
TTTY11	0	0	0	0	0	0	0	0	0	0
TTTY12	0	0	0	0	0	0	0	0	0	0
TTTY13	0	0	0	0	0	0	0	0	0	0
TTTY14	0	0	0	1	0	0	0	0	0	0
TTTY15	0	0	0	0	0	0	0	0	0	0
TTTY16	0	0	0	0	0	0	0	0	0	0
TTTY17A	0	0	0	0	0	0	0	0	0	0
TTTY17B	0	0	0	0	0	0	0	0	0	0
TTTY18	0	0	0	0	0	0	0	0	0	0
TTTY19	0	0	0	0	0	0	0	0	0	0
TTTY1B	0	0	0	0	0	0	0	0	0	0
TTTY20	0	0	0	0	0	0	0	0	0	0
TTTY21	0	0	0	0	0	0	0	0	0	0
TTTY22	0	0	0	0	0	0	0	0	0	0
TTTY23	0	0	0	0	0	0	0	0	0	0
TTTY2	0	0	0	0	0	0	0	0	0	0
TTTY3B	0	0	0	0	0	0	0	0	0	0
TTTY4C	0	0	0	0	0	0	0	0	0	0
TTTY5	0	0	0	0	0	0	0	0	0	0
TTTY6B	0	0	0	0	0	0	0	0	0	0
TTTY6	0	0	0	0	0	0	0	0	0	0
TTTY7	0	0	0	0	0	0	0	0	0	0
TTTY8	0	0	0	0	0	0	0	0	0	0
TTTY9B	0	0	0	0	0	0	0	0	0	0
TTYH1	2725	44	62	24	261	2148	5707	44	23	77
TTYH2	1216	182	334	127	279	854	721	218	482	78
TTYH3	12112	3258	7168	4614	3065	8923	6453	4253	6185	2108
TUBA1A	33211	24649	16004	10998	5809	7548	8179	17036	5694	5158
TUBA1B	58898	84554	54301	31381	25678	28403	61221	57839	32076	29580
TUBA1C	17595	8380	12761	4809	4908	6749	14592	10540	5106	4703
TUBA3C	0	84	8	4	10	0	1	17	12	2823
TUBA3D	9	454	56	55	75	0	3	307	163	18
TUBA3E	6	1433	19	24	72	4	3	66	172	18
TUBA4A	3616	2154	2185	570	386	3109	6597	878	3902	1967
TUBA4B	1	0	227	14	0	2	4	110	1	1
TUBA8	105	106	82	124	111	94	129	93	82	36
TUBAL3	38	206	7	565	4	11	83	36	245	189
TUBB1	55	32	27	30	23	26	48	45	36	16
TUBB2A	2303	4169	3486	4415	2040	2830	1338	1063	400	1683
TUBB2B	32	97	237	1532	759	352	26	12	16	0
TUBB2C	17717	18520	27628	12572	13516	6602	21211	20592	10540	14882
TUBB3	1300	503	1319	3807	596	2051	4037	1387	429	423
TUBB4Q	27	12	16	5	0	5	5	2	10	0
TUBB4	227	235	215	173	95	106	229	126	60	85
TUBB6	6919	1324	2561	1375	1983	3064	3741	1829	1749	1947
TUBB8	79	62	136	123	12	41	29	25	153	15
TUBBP5	451	314	357	237	19	88	98	4	354	2
TUBB	122938	62275	42739	32037	32534	48340	77153	43076	33628	27774
TUBD1	611	1002	559	329	309	326	824	536	305	266
TUBE1	458	415	362	512	202	234	329	553	413	245
TUBG1	3334	6055	3374	2735	1952	1306	3994	2743	2728	3581
TUBG2	864	1451	649	1396	317	384	417	580	1270	881
TUBGCP2	4452	3052	4217	4722	3302	2531	6310	4707	2449	4142
TUBGCP3	2716	1416	1994	1155	572	786	4772	2098	1422	764
TUBGCP4	869	1366	674	560	620	382	777	977	471	360
TUBGCP5	1215	2660	880	984	1238	373	570	1126	612	698
