	TCGA-A1-A0SP-01	TCGA-A1-A0SB-01	TCGA-A1-A0SM-01	TCGA-A1-A0SO-01	TCGA-A1-A0SK-01	TCGA-A1-A0SF-01	TCGA-A1-A0SQ-01	TCGA-A1-A0SN-01	TCGA-A1-A0SG-01	TCGA-A1-A0SE-01	TCGA-A1-A0SH-01	TCGA-A1-A0SD-01	TCGA-A1-A0SI-01	TCGA-A1-A0SJ-01
PAGE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAGE4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAGE5	1	0	1	0	0	0	0	14	0	1	0	3	1	0
PAH	4	1	223	9	14	7	279	1698	1	5	8	150	0	21
PAICS	17107	5784	9433	27003	19417	8809	8792	6787	6707	10404	6381	8548	5955	11912
PAIP1	9742	2509	4058	9565	7926	2587	2749	4667	3199	4213	2915	4143	3534	4696
PAIP2B	398	734	49	3007	2503	395	638	632	585	432	476	853	705	545
PAIP2	2661	3309	6904	6678	5358	3678	3008	5627	4676	5849	3670	6060	5339	6916
PAK1IP1	1533	811	949	6713	1265	800	668	836	687	892	782	1001	1017	750
PAK1	7450	2434	21371	14373	6302	4439	39945	7768	1350	6780	3131	2346	6556	10579
PAK2	10182	5327	9629	17510	9219	4761	7853	11044	10911	14012	19063	8914	17255	9768
PAK3	58	208	33	23	309	15	7	8	9	32	18	24	21	14
PAK4	4964	4067	7296	9221	6815	9627	20184	7249	6967	5581	5622	5576	7857	7353
PAK6	1113	242	481	2282	2453	257	367	622	214	626	204	368	628	634
PAK7	14	138	20	180	92	92	8	11	5	114	43	55	10	30
PALB2	1398	861	1047	4415	1143	1089	1076	1107	1762	1747	982	839	2277	1106
PALLD	15685	20948	16556	2182	6483	16822	4390	17897	13542	19389	39684	19865	32912	12543
PALM2-AKAP2	3154	8971	1941	970	988	2256	2370	2936	1880	2840	2542	4738	2248	2833
PALM2	385	662	77	204	1284	78	16	86	129	168	124	170	173	59
PALM3	39	12	283	145	90	88	11	91	62	97	21	54	59	56
PALMD	641	1462	1716	4512	110	1514	1264	833	706	1199	542	1981	1240	1761
PALM	384	1174	1141	1266	326	1862	1989	1930	3146	2714	2807	2129	2541	2083
PAMR1	132	66	312	41	48	403	487	119	182	580	281	990	184	928
PAM	9056	22796	14695	2761	3350	5728	4076	11474	6456	6379	19567	7389	15312	5470
PAN2	1131	1564	973	737	2508	1458	1214	1294	2140	1318	1170	1334	1581	997
PAN3	1526	3034	3192	7774	8887	2275	1483	2307	2667	3007	2724	3101	2347	3422
PANK1	616	607	361	887	1656	30	293	172	74	454	661	639	733	392
PANK2	2709	950	1131	1463	2085	1111	945	2397	1650	1319	1128	1674	1831	1103
PANK3	1482	2144	3863	2359	2165	1907	2063	5297	1930	4353	2524	3527	1813	2879
PANK4	1499	1007	876	986	2364	762	743	954	1143	948	685	916	1393	1307
PANX1	1118	1008	1257	3858	1755	922	651	1472	1005	1200	1829	1225	2612	867
PANX2	253	90	470	371	234	57	8	79	35	218	58	494	301	493
PANX3	0	1	2	0	21	0	0	0	0	0	1	0	0	0
PAOX	239	250	378	573	64	547	338	297	547	345	285	356	454	561
PAPD4	1557	2292	2580	2715	1441	1969	1712	3752	2929	2961	2433	3224	3277	2983
PAPD5	1007	635	1203	219	2015	768	1395	1132	1031	1434	1077	1693	829	3923
PAPD7	3328	2815	1521	2423	4519	823	909	2107	975	1422	1110	1636	1810	1615
PAPLN	787	397	524	106	89	1333	206	1175	1911	706	486	1223	1039	791
PAPL	1	10	44	4	138	0	1	1	3	1	2	11	0	1
PAPOLA	13008	7831	13014	25434	18206	7910	9901	16531	10630	12138	9852	14311	12977	13012
PAPOLB	0	6	0	1	1	0	2	1	0	0	7	3	1	0
PAPOLG	1037	945	1289	2043	1896	704	666	1041	627	1167	900	1155	1213	886
PAPPA2	12	9	4	0	2	1	10	2	12	7	10	8	3	24
PAPPA	331	263	481	29	382	387	96	466	221	402	696	575	247	176
PAPSS1	18844	10827	7625	27148	8060	4296	4837	4757	5816	9599	4810	7621	6904	9681
PAPSS2	1396	443	3292	217	656	785	312	2074	9846	1778	3751	10567	6229	4573
PAQR3	1399	882	881	2006	1646	619	640	613	140	624	641	864	628	813
PAQR4	7001	1175	4132	5131	5252	7422	1345	4735	11193	7116	2354	1170	16051	1450
PAQR5	829	160	353	588	1996	199	118	153	2825	454	168	1033	363	44
PAQR6	1199	101	29	86	90	93	10	88	229	185	14	59	110	50
PAQR7	2238	806	832	1378	2097	1359	1161	961	1412	1271	910	1243	958	1703
PAQR8	548	473	672	1106	748	499	383	721	581	749	679	876	922	704
PAQR9	13	0	0	1	11	0	0	0	2	0	0	0	0	0
PAR-SN	407	297	205	7	6	265	177	29	44	338	142	375	52	125
PAR1	0	5	0	0	0	5	0	0	0	0	0	5	0	0
PAR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAR5	118	227	47	0	5	24	60	22	25	141	80	128	34	61
PARD3B	247	410	275	275	50	113	258	311	492	331	426	360	522	320
PARD3	1680	2987	1237	10911	3337	1884	2720	3468	2082	5485	2690	3177	3079	2670
PARD6A	1219	76	299	269	568	275	653	409	319	321	182	148	338	471
PARD6B	898	456	822	371	1033	2137	1619	2613	2091	1713	305	3270	905	2847
PARD6G	806	1459	1162	555	2018	555	221	721	656	935	870	894	666	697
PARG	1130	1002	1428	1411	1990	1316	1533	1278	1524	1631	1531	2213	1819	1002
PARK2	81	215	190	26	228	183	876	59	56	99	168	102	86	311
PARK7	11773	6282	7407	7214	12162	11317	10852	7748	13740	14621	7515	6770	11127	13577
PARL	5023	1732	2217	6338	3007	1942	2301	2005	2416	2384	2894	2446	2929	2400
PARM1	1784	222	7371	191	527	1443	7551	4432	1013	1683	1376	5705	1089	8557
PARN	4799	2701	3802	6486	3678	3664	3298	4573	6712	5723	4400	4075	6111	5338
PARP10	2053	1346	2885	243	1181	2701	2936	4841	13017	3497	2965	5813	6901	3668
PARP11	3083	469	790	154	9844	833	456	667	801	880	1004	1164	611	1650
PARP12	4099	585	1267	1159	1451	2299	2938	2431	2344	1057	1414	3877	3300	1762
