	TCGA-OL-A5RW-01	TCGA-OL-A5RX-01	TCGA-OL-A6VR-01	TCGA-OL-A5S0-01	TCGA-OL-A5RV-01	TCGA-OL-A66O-01	TCGA-OL-A5RZ-01	TCGA-OL-A66P-01	TCGA-OL-A66J-01	TCGA-OL-A66H-01	TCGA-OL-A97C-01	TCGA-OL-A66L-01	TCGA-OL-A66N-01	TCGA-OL-A66I-01	TCGA-OL-A5D7-01	TCGA-OL-A6VO-01	TCGA-OL-A5DA-01	TCGA-OL-A5D8-01	TCGA-OL-A5RU-01	TCGA-OL-A5D6-01	TCGA-OL-A6VQ-01	TCGA-OL-A66K-01	TCGA-OL-A5RY-01
COLEC11	23	24	9	93	19	19	37	34	94	13	9	74	40	35	192	6	4	4	33	18	5	20	73
COLEC12	288	1366	511	641	818	93	1427	754	1122	646	3458	653	2216	661	197	9681	635	193	1045	781	496	7612	1768
COLQ	66	175	327	68	226	452	300	93	144	59	157	314	178	79	102	69	353	139	131	57	76	144	58
COMMD10	382	1107	1685	485	980	979	719	352	666	850	641	843	712	505	152	991	1124	1260	1236	560	325	1440	771
COMMD1	851	641	970	1017	488	1720	671	2069	611	444	575	2259	1437	611	462	1220	713	921	763	638	301	613	796
COMMD2	4904	1795	1788	3005	1359	1477	982	869	1578	1125	1120	1011	1175	1860	1791	7017	2248	951	1548	1258	689	1407	1820
COMMD3	1625	2608	1723	4001	2707	4999	6745	1589	1575	3408	899	4895	3425	2357	1075	1888	2637	2922	1991	1516	583	2438	1913
COMMD4	5337	2854	4804	4442	3151	12721	3169	3081	3632	3026	1440	8054	5135	1969	2657	5032	2724	3557	2530	2207	947	2910	2209
COMMD5	1981	1449	4839	3023	1354	2103	2940	1759	1490	1658	652	2207	2772	2611	2443	3235	2056	2178	1601	1455	477	1391	1599
COMMD6	3066	4166	4279	5388	2593	6150	1923	3680	2656	2391	1467	8421	4889	2755	1653	5376	3102	1796	2360	2548	992	1662	4210
COMMD7	3358	2856	4803	4617	2705	4441	3812	5938	2618	2823	1547	4641	5612	3599	2806	3911	4285	3439	3480	3766	1049	2671	2967
COMMD8	485	734	1366	1061	516	1096	110	533	874	925	215	610	557	1357	160	994	821	961	579	338	236	670	745
COMMD9	3123	1552	2362	2752	1257	2827	1827	1444	1476	1619	704	2710	2152	1524	3256	3045	1844	1514	1414	1167	623	1374	1994
COMP	11054	1406	1847	14601	2165	11809	4783	7389	1348	4000	5144	14824	5227	11298	2337	754	3393	1646	4551	8403	2204	13396	2725
COMTD1	993	392	1287	1405	468	1830	1850	2786	434	973	171	1509	1744	339	1039	615	258	537	440	1041	154	698	544
COMT	4911	3994	13920	6488	6080	8685	8400	4275	4226	8776	2008	4983	14962	5577	5325	5728	7245	5386	4141	10886	948	2621	7242
COPA	9778	15662	16531	12312	16573	9428	7758	3664	7653	13075	8693	5703	12331	25344	18995	32994	17200	29350	25937	12839	7614	18021	10133
COPB1	3959	7658	9368	4510	8447	6616	5846	2955	6647	11086	4411	3943	6660	6594	4250	10449	7414	7261	11128	5406	3838	7356	7688
COPB2	7702	7103	10556	6912	8369	8248	9197	8013	6591	11974	4252	5734	7155	10806	5448	12605	6817	8074	13041	10202	4169	7206	9689
COPE	9530	5358	10258	7337	5149	18870	9920	11381	6105	9717	5136	15119	10303	8954	13659	6758	5498	6998	8286	9771	1990	6038	7549
COPG2	657	2608	2164	742	1095	3020	1250	287	1825	1498	1300	1048	1549	996	958	2621	2913	2509	1253	791	637	2568	591
COPG	8774	6955	13653	9342	9101	12366	9961	13311	6572	12514	6486	7008	10209	9988	9475	10286	9591	11787	12759	20564	3634	7694	10035
COPS2	5069	3660	4226	2432	3449	2966	2027	1521	3265	4308	2395	1813	2948	2521	1859	4427	3159	3084	2877	2724	1237	3038	2889
COPS3	2471	2488	2999	2514	1974	2716	1269	1491	1668	2939	1224	2338	2314	2509	2705	5562	1116	1175	2339	1312	813	2622	1889
COPS4	1014	2034	3001	2445	1611	2808	1570	1010	1948	2502	1362	2201	2234	2191	838	1587	1624	1799	2159	1315	759	1879	2187
COPS5	2633	2471	7212	3669	2244	3924	4510	1787	2558	3358	1211	2661	3231	4825	3200	5569	3229	3951	2783	2297	796	2862	2272
COPS6	10083	5259	7270	5074	3719	9059	6140	5026	4065	8170	2564	8451	9885	4588	7370	6781	3964	4746	4272	3956	1355	5665	8892
COPS7A	4017	3711	4172	3749	4189	3788	3259	1877	3724	5150	1898	3807	4661	4002	7491	3938	4184	4954	2942	3319	1421	4130	2665
COPS7B	3766	1864	2166	951	1745	2533	3180	1038	1974	1385	1527	1662	1913	2030	4017	2965	2218	1346	1834	1378	607	1700	1376
COPS8	1476	2556	3443	2479	2424	3518	2324	2734	3684	3001	2313	2995	3036	2790	809	2947	3102	1856	2260	2823	1280	3370	3206
COPZ1	4481	8654	12896	6621	8153	20114	7420	5833	7648	11017	5188	12662	13900	7102	7876	8936	8378	7563	10356	6718	3346	7698	6337
COPZ2	816	390	173	961	288	1067	162	1048	866	862	270	2764	2332	576	78	155	409	240	243	550	244	1097	759
COQ10A	136	470	539	199	208	439	256	241	276	353	153	269	234	391	308	404	262	535	261	120	84	322	242
COQ10B	1064	1291	2120	1142	1606	1039	1098	1286	1674	1577	726	1238	1357	1292	895	1210	1150	2640	1820	1454	975	1503	1644
COQ2	448	381	631	894	272	832	343	413	322	842	240	361	339	818	795	751	247	365	391	727	114	395	574
COQ3	1324	199	220	462	237	348	352	369	219	391	158	240	313	373	801	405	375	287	298	124	48	244	337
COQ4	1125	2433	7343	1751	2512	7203	2774	2951	3966	3606	1244	6325	4121	1570	1691	2356	3858	2974	2871	2574	902	3026	1860
COQ5	1655	1294	2374	1174	1075	2816	807	1515	1228	1332	512	1345	1757	1151	705	1789	1484	1272	1457	1120	403	1600	954
COQ6	1153	1258	1800	549	1325	1771	1091	815	1364	1646	608	964	1102	585	716	988	981	1375	1447	1207	420	682	763
COQ7	560	1785	1859	789	1524	1898	1563	448	1039	1196	564	1306	2181	583	618	1561	1326	1783	1001	721	533	2942	730
COQ9	2353	1403	3267	2195	1435	3272	4612	1699	1116	2302	1046	1541	1622	2136	2523	1836	1429	1282	2623	1295	480	1447	1927
CORIN	97	242	31	61	97	49	21	224	76	24	11	57	226	153	7	19	76	108	61	793	33	157	159
CORO1A	1786	2353	847	3158	1379	852	703	9744	1338	5555	1076	4987	4362	12068	6292	1645	1699	2011	6345	1242	756	1207	10393
CORO1B	6574	6057	8131	5142	7061	14853	14776	8152	13564	13550	2735	6459	8640	4712	7804	5604	14233	5399	7943	8489	1900	4839	6201
CORO1C	2250	4616	3096	4160	5111	1833	2264	2266	3506	3318	2061	3344	3152	7133	3749	14992	2416	2750	2873	3671	1791	2643	6519
CORO2A	468	4365	5656	604	4423	2768	1893	386	2958	2878	852	1079	1788	1615	1231	2684	1185	4498	2717	2959	1211	3934	1374
CORO2B	46	284	115	89	218	53	56	33	216	80	218	151	172	85	23	35	97	94	126	273	147	61	253
CORO6	92	49	5528	48	460	15645	225	43	48	552	91	87	70	40	56	14	6801	1409	84	307	34	375	38
CORO7	932	2266	2864	2309	2398	3145	2258	2527	1908	2401	1070	2962	3335	3415	2915	2073	1561	2219	2418	1294	731	2452	2013
CORT	33	11	45	18	11	123	17	12	11	4	5	56	14	16	28	48	36	34	8	26	2	16	16
COTL1	7810	3671	2377	19920	2654	3336	2787	9679	3704	6854	2721	7382	6373	22019	29412	6000	3206	5348	7285	4921	1845	2480	11229
