	TCGA-OL-A5RW-01	TCGA-OL-A5RX-01	TCGA-OL-A6VR-01	TCGA-OL-A5S0-01	TCGA-OL-A5RV-01	TCGA-OL-A66O-01	TCGA-OL-A5RZ-01	TCGA-OL-A66P-01	TCGA-OL-A66J-01	TCGA-OL-A66H-01	TCGA-OL-A97C-01	TCGA-OL-A66L-01	TCGA-OL-A66N-01	TCGA-OL-A66I-01	TCGA-OL-A5D7-01	TCGA-OL-A6VO-01	TCGA-OL-A5DA-01	TCGA-OL-A5D8-01	TCGA-OL-A5RU-01	TCGA-OL-A5D6-01	TCGA-OL-A6VQ-01	TCGA-OL-A66K-01	TCGA-OL-A5RY-01
SPI1	1104	721	738	1411	597	520	465	2401	982	2621	499	1821	1301	3159	2192	1237	768	1198	1274	975	289	728	1887
SPIB	47	91	15	176	30	50	18	120	13	35	9	93	204	6282	5198	67	42	33	578	11	26	21	630
SPIC	1	1	2	2	0	0	0	3	0	16	1	0	0	11	2	5	0	0	1	0	0	0	1
SPIN1	2249	7799	8411	2797	7948	4032	4566	725	8355	3506	4773	1921	2660	6062	3180	8651	10199	8040	4600	3592	3979	8678	4107
SPIN2A	0	6	1	10	1	5	0	0	5	3	7	5	6	2	1	1	2	2	6	5	1	7	0
SPIN2B	290	217	452	758	239	456	489	143	362	299	184	428	515	313	175	217	229	241	292	146	100	265	230
SPIN3	416	620	1124	787	795	520	657	135	788	511	312	292	385	693	381	357	779	624	612	336	271	764	242
SPIN4	249	303	449	179	473	345	228	74	450	280	209	138	229	827	173	431	279	302	244	173	141	381	290
SPINK13	1	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0
SPINK14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPINK1	10	14	0	4	0	0	4	0	0	11	0	1	0	2	0	1	0	0	7	0	0	0	8
SPINK2	8	9	1	15	8	5	0	9	2	1	3	9	11	8	16	9	2	8	54	0	3	0	8
SPINK4	1	15	0	0	1	13	0	0	5	25	0	0	0	0	0	0	0	0	2	0	0	5	0
SPINK5	3	36	7	0	6	13	6	99	2	8	7	16	78	6	1	1	15	1	7	19	4	16	5
SPINK6	5	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
SPINK7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPINK8	0	3	3	0	29	0	177	1548	3	0	3	5	30	0	0	1	10	6	87	1765	0	9	32
SPINK9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SPINLW1	32	0	0	0	10	2	0	12	0	0	5	2	0	0	4	0	4	1	0	6	0	0	2
SPINT1	17572	9664	18899	6777	13364	15738	16182	10844	8529	11225	5917	12541	17736	6512	6177	10698	12374	7819	12254	18278	4277	7597	9639
SPINT2	25380	28895	55896	35591	27249	41465	56986	37361	54711	21202	15355	26107	38087	30326	8043	28349	37240	27847	28743	36573	12857	24063	15208
SPINT3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0
SPINT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPIRE1	546	1563	2143	462	1529	1615	536	721	2165	1775	1142	1056	1227	1350	1447	1186	1349	1412	1405	1025	427	1820	1141
SPIRE2	528	316	260	509	259	1418	2199	135	479	572	213	432	488	149	979	500	212	848	466	163	109	610	173
SPNS1	2535	2898	3866	3522	2934	5943	3168	2542	2557	2429	1925	5439	5560	2488	4200	3814	2788	3419	1873	2599	899	4214	2215
SPNS2	1432	979	374	2600	1206	255	761	3132	1499	1069	365	2332	1776	1207	369	305	377	281	1486	744	514	710	1625
SPNS3	23	59	5	82	19	10	14	107	14	55	7	94	126	95	23	6	16	5	81	12	17	43	121
SPN	76	356	181	171	248	100	98	876	270	367	173	333	298	1755	580	283	283	388	803	279	234	191	672
SPO11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPOCD1	96	122	37	223	183	245	53	12	344	75	14	177	33	91	149	107	79	86	170	126	24	41	169
SPOCK1	886	1606	227	1176	1308	1152	455	158	1573	622	2156	1307	2092	1921	81	567	1719	1131	633	3923	1249	2597	1249
SPOCK2	573	1365	501	2016	660	412	236	3107	562	823	1020	1406	1579	11651	6442	2955	912	1001	3649	1181	646	216	2807
SPOCK3	0	6	5	0	0	0	0	0	7	0	0	1	1	2	0	2	13	0	2	0	9	15	1
SPON1	357	2076	309	2415	1687	1097	681	1272	2509	816	144	1593	2847	1229	225	670	1167	1563	944	3787	1759	3160	3338
SPON2	2929	2052	681	8486	3649	6230	1439	2060	5364	1165	1583	8245	9959	4519	816	10709	3804	2213	1213	2806	1953	5774	4853
SPOPL	1217	2762	2622	633	3611	1798	3487	721	4507	1964	1029	1384	1323	1193	459	1453	3533	2026	4610	1838	2261	4435	1447
SPOP	2655	2900	4555	1514	2846	3231	1069	1276	2336	3715	1373	2857	3227	3036	1139	2894	2930	3435	3367	1899	1225	5260	2382
SPP1	22971	2872	6973	20289	3205	1296	5122	14245	13249	29869	10372	6563	1436	4822	3566	12361	1372	1000	3424	2049	611	1958	6226
SPP2	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SPPL2A	776	1607	1455	1175	1610	1228	495	1960	1653	1770	762	1324	1679	1206	589	1858	865	1536	1571	1630	751	1464	1876
SPPL2B	1696	2788	4123	2226	3509	8490	4216	1917	3921	3821	1975	4449	3802	1689	2198	3399	3122	4019	3498	3411	865	3339	1883
SPPL3	4685	3261	5119	2666	2947	4854	1737	1843	4126	2683	2111	2904	4136	4909	2351	2078	4484	2796	2917	2214	1177	2986	2235
SPRED1	736	2110	3466	872	2494	543	737	794	1726	1776	2323	1479	2773	1440	295	1514	3925	846	806	1333	1405	1039	1669
SPRED2	537	5284	7026	448	5418	804	3399	1014	2902	1424	2661	1016	1993	535	178	1821	5110	5737	2735	5217	1595	2516	2047
SPRED3	0	3	22	0	10	0	3	1	4	4	6	4	3	0	1	2	4	11	1	10	3	2	1
SPRN	388	212	377	483	309	731	241	429	371	324	346	1137	503	195	383	332	423	303	284	242	50	470	182
SPRR1A	55	1	0	1	9	1	28	2	0	5	18	0	0	4	0	1	2	3	0	1	0	0	62
SPRR1B	166	0	1	0	12	0	2	3	0	3	0	0	0	27	0	1	1	157	0	2	0	0	62
SPRR2A	2	0	0	6	1	0	2	0	0	3	0	1	0	3	1	1	0	16	0	0	0	0	0
SPRR2B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0
SPRR2C	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR2D	16	0	0	0	7	0	0	1	0	0	0	2	0	14	0	0	0	8	0	2	0	0	3
SPRR2E	4	0	0	1	2	0	0	0	1	0	0	1	0	3	0	0	0	21	0	0	0	0	1
SPRR2F	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1
SPRR2G	4	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	1	0	0	0	0
SPRR3	1	1	0	0	14	0	5	0	0	0	0	0	138	1	0	1	0	5	0	33	0	0	22
SPRR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0
SPRY1	290	3094	1810	1264	2993	641	1148	655	3208	1862	2330	2494	5664	1091	382	565	1176	578	2862	2179	2597	1835	3377
SPRY2	140	1225	832	203	1017	272	132	183	1026	417	1191	563	746	415	128	842	248	179	556	664	634	435	1082
SPRY3	76	118	135	185	191	32	59	57	56	91	139	46	62	114	293	163	88	140	110	185	38	86	76
SPRY4	319	2171	2271	779	2270	459	1609	627	1541	819	5748	813	1674	764	436	1355	1744	1801	726	4473	814	839	1071
SPRYD3	1958	3209	5655	2059	3518	6030	3105	2691	3278	6610	1835	3500	6247	2745	2454	1952	3838	3708	5130	2271	1380	4497	2249
SPRYD4	571	795	1659	688	706	1228	1946	1506	737	1238	322	1110	758	639	766	555	497	1088	1179	890	321	470	571
SPRYD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SPR	3031	1738	5235	1459	1926	5804	1087	4251	3064	4245	517	4523	2179	1828	1956	2184	2017	4483	1961	4394	953	2545	925
SPSB1	1051	1317	1813	1892	1788	1301	1271	1996	1570	377	804	2144	1530	3584	1820	3539	1951	1711	1072	4668	1010	1685	1771
SPSB2	561	578	739	752	436	1466	973	848	579	397	165	841	815	1100	1614	645	394	547	310	508	112	432	325
SPSB3	2426	3930	4122	2642	4109	9621	5821	2660	3682	3231	1188	7444	7485	3199	1855	2466	3696	6801	3504	2292	994	5409	1718
SPSB4	333	18	20	46	3	29	42	28	12	6	34	31	30	13	3	60	10	47	16	200	9	23	87
SPTA1	3	1	3	4	0	0	3	4	8	2	0	4	14	19	3	2	3	15	1	1	1	6	17
SPTAN1	9841	26303	23896	8442	20383	14445	6615	6444	17785	16283	11962	14377	11443	13220	12234	23653	20360	18857	18012	12302	10035	29251	12285
SPTBN1	2408	12710	10402	4625	11000	4273	5233	3049	16894	9759	11603	5603	8666	9837	6075	19687	7256	9991	14231	12227	6914	9571	10811
SPTBN2	5962	1019	4504	2035	3012	1005	5929	1845	401	54	1154	2289	1670	2371	8134	9590	2931	6608	876	4962	971	358	4506
SPTBN4	263	117	746	35	235	400	107	34	98	1047	311	509	171	42	21	35	90	672	115	49	68	495	24
SPTBN5	754	541	732	137	1429	1477	1222	87	475	169	195	450	508	141	180	325	880	310	483	268	198	229	391
SPTB	318	153	250	47	162	61	110	72	269	113	104	133	133	135	95	215	122	109	169	152	77	133	142
SPTLC1	1183	3387	4417	2387	3610	4068	2178	1025	4079	3880	2045	2061	3338	3954	2090	6056	4194	4683	3256	3015	1623	4910	3123
SPTLC2	1959	4197	4163	1289	5333	1743	1907	2278	2220	2956	1869	2183	1837	1761	1461	3549	4258	3554	3562	6579	2586	2341	2323
SPTLC3	419	755	705	318	737	198	85	210	242	191	290	713	1970	619	150	306	276	153	602	236	224	448	424
SPTY2D1	1367	1716	2596	869	2195	1647	1254	678	1910	1616	1155	970	1322	1259	1040	2857	2291	2051	2402	1292	1285	1755	1413
SPZ1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SQLE	2259	1361	6631	5769	2383	3055	3846	977	1556	2356	991	956	4196	6438	2806	10451	2598	4786	3641	1844	816	3004	6646
SQRDL	2630	3894	8272	3973	4071	5099	1755	5287	4064	5500	1447	7629	6282	3433	1455	3110	3701	4774	6336	4102	1502	3732	4892
SQSTM1	18856	17890	21849	18423	15114	19792	14482	22170	17591	22054	10532	21295	29397	26407	25023	19821	19206	30043	20277	20217	7074	19615	27267
SR140	3376	4701	4551	3057	4784	4511	4643	2466	4050	3582	2547	2163	2519	4283	5334	7841	4458	3617	3973	2333	1617	3891	3085
SRA1	3330	1298	2290	1635	1236	3334	1216	1677	1478	1873	1357	3265	3184	1136	2278	2048	1629	1416	1634	1810	511	1774	1417
SRBD1	200	838	1672	429	984	931	841	461	670	1352	562	474	633	656	531	922	820	989	1196	675	401	1133	1058
SRCAP	3435	9968	12532	4955	12603	8064	6813	2952	5822	5528	4511	8564	9306	7077	7013	7189	7923	16951	8650	6624	4719	9496	6160
SRCIN1	813	2546	2026	117	2225	2005	19032	247	831	927	732	1692	1766	111	35	1088	2112	3174	1849	681	524	3078	250
SRCRB4D	209	51	48	129	35	157	123	41	396	77	23	84	111	146	123	287	82	339	26	91	12	71	32
SRC	1729	2500	4904	2889	2642	2460	3426	664	3767	1958	2385	1247	2387	6859	3530	2506	4879	5608	2462	1985	1042	1961	2812
SRD5A1	1422	738	638	2390	550	686	700	862	183	541	368	399	956	1519	1101	2768	657	615	273	12400	117	454	1410
SRD5A2	4	28	12	69	10	2	36	10	38	3	28	6	1	7	2	6	93	61	15	61	4	34	36
SRD5A3	841	1018	1796	2087	1259	1507	1326	3677	2530	1895	625	1179	2956	887	965	2880	772	1094	2058	5322	661	1512	3141
SREBF1	2165	25047	22735	5448	51998	52856	21201	27664	21518	20422	12279	8919	8429	3497	8739	12735	11498	24090	23274	25359	5144	23009	7153
SREBF2	2945	6606	13053	5664	9971	6547	1982	4974	3326	9183	5093	2548	7180	2637	2645	11584	7684	13985	11475	9796	1832	5347	10314
SRFBP1	203	593	593	234	578	473	375	115	387	423	310	167	394	359	175	776	411	414	582	336	253	568	352
SRF	2239	6929	4471	4263	4415	3093	2539	2193	3689	3003	1772	11844	2687	7605	3893	4132	4306	3540	5181	4887	5881	4831	3124
SRGAP1	137	376	1495	301	820	1418	528	266	2781	688	833	302	862	1223	443	708	1606	648	551	1172	348	499	456
SRGAP2	1102	1146	4397	1843	1614	1489	787	707	1126	1284	2668	1112	2137	2328	2083	2090	1900	1397	1152	1445	647	1608	1249
SRGAP3	130	282	595	161	754	1300	430	127	113	421	297	382	149	383	585	209	506	1130	474	199	195	140	183
SRGN	2746	2092	1091	3608	1858	1147	830	5263	2742	5980	2530	4019	3138	11650	2827	2753	1688	1219	5817	1229	2183	2435	6697
SRI	5818	4445	11401	5188	3303	8525	1616	2600	6392	8858	3102	3516	7444	4403	4183	5610	12633	2935	4318	2244	1582	7985	4139
SRL	6	37	34	18	47	12	17	20	61	66	13	28	102	12	19	5	23	38	58	47	15	48	56
SRMS	42	106	212	64	133	256	45	99	74	87	23	121	310	5	79	1	69	96	199	284	47	152	69
SRM	5029	2696	3404	4173	3325	5245	9324	6667	1719	5317	1387	5750	3148	12256	16965	9397	3129	2718	2163	6935	935	3201	3066
SRP14	5657	9863	17572	7418	9865	17328	12203	7416	14978	10981	4915	13165	15120	6714	5552	12117	13947	13341	9307	8119	4025	8370	10993
SRP19	2344	1442	2148	2034	1378	2273	1718	1834	1323	2070	1084	1943	2034	1496	1013	2138	1538	1181	2119	1914	578	1547	1906
SRP54	2479	2744	9248	1814	2513	3547	1886	1413	3071	3833	1817	1945	1965	2637	1448	3576	2640	2706	3409	1631	1138	2315	3032
SRP68	2184	4190	6027	2840	3419	5783	1953	4896	3434	4548	2668	3982	4328	4130	5812	6155	3433	3667	4602	3502	1673	4562	5179
SRP72	2033	5910	8309	6310	4915	6017	7518	2826	4997	7010	3960	3472	4220	7021	5214	13686	5079	4013	6671	4346	2560	5083	6124
SRP9	10891	13769	14976	14491	15105	17894	12677	4275	13608	10045	5244	13753	20207	11879	4950	18613	17773	11208	21391	8330	6065	19269	10444
SRPK1	3687	2435	3738	5922	2592	2456	4023	918	1859	2260	1310	1532	1584	8035	5738	7484	3424	2835	1713	1491	989	2809	2979
SRPK2	1814	3162	3201	1242	3575	2533	3361	941	2022	3387	2076	877	1644	2484	2080	6596	2964	3040	3277	1675	1172	4574	1093
SRPK3	519	339	82	306	396	28	1015	324	30	660	19	89	44	24	28	18	71	82	781	854	7	307	263
SRPRB	3545	1829	6503	3475	1714	5064	1979	6077	2770	4857	1722	3739	3125	4008	3290	4454	2624	1621	3508	4146	842	2967	3856
SRPR	6758	6503	9515	4659	7026	3880	3708	7599	4363	9634	4813	5523	4694	7103	5276	6312	4488	7210	11958	10812	3399	5950	6327
SRPX2	703	1132	174	970	960	1253	295	399	1525	441	1806	1607	634	1065	162	172	746	597	338	899	661	830	1737
SRPX	298	1430	368	1096	605	250	189	556	2075	407	2225	1512	1903	1008	198	283	311	105	762	513	488	674	2303
SRRD	447	495	797	962	367	554	293	456	542	537	356	490	680	832	570	865	662	585	740	566	146	585	536
SRRM1	3328	4684	5032	1889	5266	3289	6786	1818	2693	3749	2965	2281	2317	3544	4520	9188	4598	4010	4851	4339	1930	3138	2907
SRRM2	7339	45824	34391	6480	62511	20750	36125	7572	16599	16541	24831	20137	17782	14225	23115	20838	30247	66046	32284	22473	15585	35213	10753
SRRM3	218	213	526	114	230	270	48	330	133	36	612	534	551	121	18	23	122	197	250	321	127	825	134
SRRM4	3	0	0	0	1	4	1	0	0	0	0	2	1	0	2	2	3	0	1	1	0	0	2
SRRM5	62	60	103	59	70	187	65	25	59	35	31	112	91	81	72	75	103	159	77	50	17	58	16
SRRT	10245	5710	8629	4711	5818	8845	5823	3566	4418	5229	3142	7671	7203	5601	9238	9282	7515	6912	5952	4036	2075	4853	3521
SRR	419	1004	1692	314	653	1334	918	528	568	923	393	812	731	542	642	1690	297	736	1259	568	306	1027	561
SRXN1	1228	1660	3066	1138	1888	1967	1681	1635	1843	2654	1054	1345	1786	2226	3179	2691	2006	2845	2140	2589	694	1911	2098
SRY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SS18L1	556	1134	1080	652	1294	1100	2279	758	814	738	786	496	654	1234	1124	2186	1425	1213	741	881	321	993	623
SS18L2	1068	760	1355	1123	757	1572	900	1107	678	895	413	1705	1011	1101	1751	1390	1168	902	995	747	291	610	698
SS18	5130	4831	6757	3481	5408	5096	3503	1974	4996	4384	2558	3905	3303	5934	3295	5283	5023	5557	5136	2122	1453	6798	3712
SSBP1	2766	2898	2865	6074	2262	3666	3456	1333	2566	4072	1315	4539	4139	3183	4255	5327	2158	2036	2160	2433	756	2408	2072
SSBP2	819	807	1181	626	958	870	1022	318	660	1690	1190	494	1278	274	203	334	864	496	1222	569	432	682	671
SSBP3	820	2079	1352	1059	1133	1344	7039	353	916	1316	961	1328	732	1353	2042	862	1247	2457	1135	644	470	961	1110
SSBP4	2001	2646	3678	1704	1996	3695	2099	1608	2036	2465	3355	4673	3589	2140	2171	1482	2481	3025	1574	1460	684	2544	1305
SSB	7759	4986	6788	7254	3851	5907	4838	2213	5415	6267	2424	4590	4315	5877	9014	7465	4778	3539	4658	2773	1724	5548	4878
SSC5D	887	2498	348	646	5179	1982	284	414	935	281	569	2504	2269	739	212	308	1685	702	596	1251	969	2344	797
SSFA2	1371	3434	3583	1432	4345	3085	1658	1630	4175	28269	1736	1251	1814	2389	1210	2085	2598	2559	3131	2403	1785	3685	5378
SSH1	1084	2376	2401	1050	2547	1057	1220	655	2134	1683	1475	824	1285	2048	1746	2253	2521	3196	1547	2089	1200	1538	1765
SSH2	354	763	2090	782	1271	483	789	437	1287	747	723	551	351	1522	678	1352	860	1185	856	630	665	880	1371
SSH3	1255	5054	7130	775	5475	5953	2925	1508	6987	2952	1616	2652	5740	1066	2195	741	14191	9821	4279	1600	2235	3252	2775
SSNA1	2502	2487	4043	3464	1873	6811	4312	3205	2834	2600	1084	7215	3935	3817	4099	4637	3565	3556	2178	2631	762	2493	2576
SSPN	714	1741	906	1085	1414	805	4457	596	1236	1335	651	828	1985	1611	213	649	1890	530	936	828	872	1665	1821
SSPO	55	739	227	159	1088	1697	690	16	78	161	123	128	227	65	22	44	147	1387	254	146	48	549	36
SSR1	3425	5844	6708	9293	5090	5716	10642	5462	6635	7699	6883	4490	5375	9745	5742	11514	7771	5635	8198	4582	3158	8831	8676
SSR2	20975	22791	14793	25165	12244	33052	13337	15721	10545	12620	13758	19936	37355	20344	21719	28338	16706	15764	24481	13382	5603	21257	17960
SSR3	10306	6046	9563	7435	5646	9065	3301	8637	5384	8757	3360	6848	5090	5722	3863	11049	4501	5377	7645	8469	3062	6382	8635
SSR4	10186	6844	12919	11499	6448	16329	7370	30813	7348	9144	7812	15108	11251	8429	8676	3939	4694	6101	13217	13753	2328	5110	12446
SSRP1	11738	7809	13497	6954	6652	7754	8653	4569	3636	8311	6773	7047	8952	10965	15443	21505	5608	9179	5957	4612	2828	5881	6368
SSSCA1	2331	860	1495	1137	760	2246	1299	1481	721	1046	339	2828	2034	1090	2270	1002	1776	996	890	842	297	659	1224
SSTR1	0	21	58	3	37	15	3	1	30	19	9	36	13	5	0	0	87	22	24	250	21	40	12
SSTR2	48	50	784	75	151	577	156	52	106	123	1528	408	118	103	50	20	272	919	69	46	178	369	90
SSTR3	3	4	0	2	2	0	0	2	0	1	3	0	1	12	16	3	0	2	14	3	3	4	5
SSTR4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SSTR5	0	0	0	0	0	0	0	1	2	0	0	0	305	1	0	0	0	0	0	0	0	6	0
SST	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	1	0	1	1	0	1	1	0
SSU72	12643	6327	8535	7257	5057	14225	4335	7590	4716	8085	3393	10746	9025	9884	14741	11971	5310	6623	6027	7829	1947	4925	5735
SSX1	0	0	0	0	0	34	0	48	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
SSX2IP	924	2310	1665	527	2195	1404	596	519	1573	1502	1110	535	697	1106	345	3835	965	1511	1100	648	673	2284	756
SSX2	0	0	0	0	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSX3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSX4	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	1
SSX5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SSX6	0	0	0	4	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
SSX7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSX8	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ST13	7391	11061	14724	10451	8289	13438	5343	6258	12935	11879	6902	5737	13091	8050	6317	10112	13572	10196	9281	11075	2641	9441	9362
ST14	20251	8277	12395	12001	11727	6107	6112	16539	2610	12265	3095	8537	10209	10888	10069	15541	3947	4660	9098	22926	2988	5210	6617
ST18	1	11	8	6	10	0	3	2	3	4	3	2	2	13	2	7	0	2	6	8	4	3	22
ST20	612	175	183	833	284	343	340	146	108	209	84	459	416	358	527	543	350	263	144	314	55	214	165
ST3GAL1	1728	2290	20513	2452	3282	2125	1935	1317	4846	2176	6803	1182	4224	4629	3111	1038	9763	7391	3559	2447	1221	3765	2765
ST3GAL2	413	892	687	953	656	1257	460	754	1219	953	1302	868	1108	2052	905	864	794	957	981	964	528	911	1351
ST3GAL3	542	501	852	1120	435	1088	382	289	414	410	512	754	662	331	418	576	780	578	444	254	208	586	351
ST3GAL4	2926	1219	3210	1946	1024	1328	2032	425	2159	3200	1426	1715	1823	2721	1432	1260	699	1883	1016	645	607	1860	1853
ST3GAL5	208	752	1904	318	835	807	791	2833	1565	663	219	700	505	903	361	221	773	460	529	527	186	996	668
ST3GAL6	404	128	48	1295	92	68	50	201	109	285	93	186	355	635	198	224	90	56	94	312	59	135	285
ST5	2642	3447	3199	2761	3805	1685	833	730	1984	1545	3549	2186	2022	4364	2351	1852	2094	2430	1933	2430	1825	3007	2922
ST6GAL1	3113	5905	2022	4800	4065	544	2384	5533	837	1630	1113	3870	2491	2536	1858	516	1575	561	4277	10402	1711	2755	7511
ST6GAL2	159	345	76	259	348	509	55	63	284	124	466	256	178	1197	9	344	410	482	155	682	295	905	291
ST6GALNAC1	0	52	14	15	38	23	23	21	76	32	2	30	59	7	2	756	11	6	43	306	22	27	72
ST6GALNAC2	1093	1802	4364	334	4565	4754	594	331	2970	6088	549	2866	8006	290	142	3420	4288	1697	2539	494	1392	4050	1500
ST6GALNAC3	30	113	69	154	58	52	48	43	150	87	121	93	71	67	25	38	95	25	38	106	77	139	66
ST6GALNAC4	870	1086	807	553	1181	1265	589	1628	395	5904	526	922	721	545	1333	404	371	2168	871	504	202	1715	984
ST6GALNAC5	632	135	22	630	102	86	132	25	541	29	36	33	78	1444	889	104	283	772	134	94	26	1552	138
ST6GALNAC6	1405	2900	2668	1676	2239	3034	2335	2514	3834	2398	2181	4848	3259	4709	2775	1487	3172	3277	2670	1637	1069	3356	2655
ST7L	553	664	1510	322	652	817	392	211	543	889	244	508	652	403	236	959	816	625	1006	471	172	594	456
ST7OT1	240	275	173	112	90	433	294	46	108	268	80	240	407	114	297	334	99	91	77	126	34	120	93
ST7OT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ST7OT3	11	1	12	8	4	7	7	2	2	9	1	5	8	6	6	11	7	6	0	1	2	4	4
ST7OT4	4	0	3	3	1	1	3	1	0	2	1	2	1	2	0	0	4	0	1	2	1	0	0
ST7	2076	1380	1878	1052	933	1346	1064	537	875	1927	669	915	1280	1115	927	1442	963	1423	962	1101	407	1237	717
ST8SIA1	90	202	42	625	45	24	81	157	86	55	80	150	558	647	442	372	111	49	158	263	55	139	635
ST8SIA2	57	167	25	132	206	15	5	19	35	2	503	2	17	4	9	34	55	19	5	68	25	5	43
ST8SIA3	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2
ST8SIA4	216	491	143	497	236	199	199	824	511	1074	1249	369	322	1080	317	374	400	393	550	536	240	386	879
ST8SIA5	54	8	14	3	4	10	50	1	49	7	17	16	6	15	10	2	21	8	7	9	2	3	8
ST8SIA6	3	459	375	3	423	1	183	1	35	3	210	33	107	8	2	18	529	875	267	33	293	189	13
STAB1	1787	2130	2191	4530	3118	1134	1233	3328	3775	9220	2637	5945	6165	3795	2203	1407	1156	2343	2911	2612	1005	2255	3474
STAB2	0	150	13	10	57	3	19	28	0	4	2	58	161	4	2	0	5	4	22	9	56	10	65
STAC2	340	3042	879	7563	4176	47	4095	1113	352	135	1073	1111	1037	98	22	2037	673	57	65	16948	999	564	618
STAC3	156	148	183	220	87	663	230	363	218	468	122	352	214	411	260	218	151	463	146	140	38	145	259
STAC	757	69	53	237	56	10	5	28	29	19	4	35	46	569	294	226	33	13	32	23	26	54	91
STAG1	1768	1751	1990	761	1727	636	1082	290	1132	1144	884	377	518	1166	874	217	1463	1503	1302	1096	949	1294	1026
STAG2	2870	5361	6071	2447	5248	3056	3200	1161	3958	3972	3178	1724	2374	4567	2844	5045	5063	4738	4003	2509	2418	4526	2903
STAG3L1	169	191	523	43	694	283	342	31	192	118	299	50	164	125	326	267	137	184	124	118	22	343	48
STAG3L2	293	112	212	55	163	74	79	88	275	172	152	75	84	523	154	326	191	189	175	233	87	110	57
STAG3L3	253	821	776	277	852	639	676	268	579	564	430	470	484	602	466	543	642	711	569	484	215	879	154
STAG3L4	598	452	445	306	313	133	324	204	424	741	222	264	688	392	330	460	140	286	431	275	117	331	282
STAG3	30	32	28	58	41	34	36	244	30	54	122	60	59	185	135	38	61	35	44	30	10	30	167
STAM2	855	1534	3584	948	2227	1493	730	524	2650	1820	1190	767	1393	1435	506	1677	2356	2471	2201	1279	1113	2143	1350
STAMBPL1	64	163	179	124	137	180	47	275	120	377	64	122	288	423	322	96	171	149	329	162	90	537	506
STAMBP	1891	1580	2008	2253	1692	1856	1405	2071	1403	1586	891	944	1535	1437	2515	4279	1665	3406	1213	1722	680	1733	1782
STAM	698	964	1132	1359	1002	811	905	394	1047	867	583	471	675	1477	990	1710	1104	1186	968	828	458	1358	948
STAP1	55	41	12	17	28	9	2	41	13	22	5	48	74	138	89	40	13	17	150	10	5	4	206
STAP2	3770	2889	2661	2628	1614	6017	860	3445	2210	1789	525	4252	3481	3080	12994	3294	1655	4315	1918	2843	654	2289	2775
STARD10	2363	5906	17912	2883	13651	68203	7082	5818	76450	25871	3491	25539	14744	2270	4069	2401	3878	10360	6555	9809	6033	5384	5389
STARD13	410	1781	2710	453	1637	539	127	514	851	620	1832	1700	788	794	251	773	1144	858	1613	1403	1186	1015	794
STARD3NL	1638	1760	1893	1444	1130	1350	1278	1021	1181	1970	868	1199	1687	1477	734	2754	1210	1559	1192	1037	498	1734	1654
STARD3	2608	2887	4292	6727	2162	5148	48699	2709	3886	2659	1775	4049	3558	2298	2135	3199	2809	3035	2465	1967	888	2947	45065
